total_borrows,total_returns,on_time_returns,late_returns,damage_count,lost_count,total_fines,unpaid_fines,risk_score,risk_tier
38,17,12,5,2,4,2423107,1807737,5.01,Medium
28,14,2,12,7,3,3717005,2305289,7.11,High
14,3,1,2,4,1,1923009,1628254,4.93,Medium
42,21,18,3,9,0,2557590,1627008,4.33,Medium
7,1,0,1,6,0,1007425,144454,5.23,Medium
20,14,13,1,3,5,4698545,4630746,5.54,Medium
38,7,3,4,3,2,1021216,341524,5.01,Medium
18,7,4,3,7,5,5470658,254043,6.09,High
22,16,7,9,7,5,6438608,4837502,7.25,High
10,2,0,2,1,0,352280,96055,3.82,Medium
10,9,6,3,1,3,2303183,1436909,3.78,Medium
23,8,4,4,2,4,907284,730070,4.89,Medium
35,5,2,3,2,4,2246942,1845733,5.58,Medium
39,25,11,14,0,4,2714600,1606325,4.82,Medium
23,1,1,0,2,1,1061622,110084,2.38,Low
2,2,1,1,5,0,1514219,1014391,3.8,Medium
21,12,1,11,7,3,4048072,2443028,7.22,High
1,1,0,1,9,1,2237317,473006,6.4,High
23,4,4,0,5,2,2777808,1390277,3.53,Medium
43,32,31,1,4,3,3611026,2954844,4.44,Medium
29,20,8,12,3,5,1448874,787839,6.15,High
37,21,2,19,2,3,4370625,73568,5.43,Medium
1,0,0,0,3,3,889150,58560,2.65,Low
20,5,3,2,6,4,4416318,1197442,5.9,Medium
32,5,1,4,0,3,1268025,1199529,4.96,Medium
11,6,2,4,6,5,2011276,1790228,6.57,High
21,15,2,13,0,5,2658618,2323176,5.98,Medium
43,3,0,3,1,0,433954,180775,4.21,Medium
24,10,5,5,3,3,2046407,961858,4.74,Medium
48,29,14,15,0,4,1230059,91288,4.42,Medium
26,23,0,23,10,3,5012461,471678,7.69,High
41,8,6,2,10,2,4514554,1429740,6.08,High
27,22,11,11,10,2,2876644,1822700,5.6,Medium
15,2,0,2,8,4,2266757,14390,7.09,High
14,2,1,1,5,0,1139385,497619,3.99,Medium
46,30,20,10,0,0,352659,218547,2.13,Low
50,39,30,9,0,5,3979243,551595,4.86,Medium
